 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.89,0.96,0.27,0.97,0.27,0.18,0.34,0.33,0.39,0.37,0.47,0.8,0.32,0.68,0.38,0.85,0.41,30M_FE_c_FER.csv
0.91,0.99,0.39,0.97,0.74,0.35,0.38,0.87,0.86,0.91,0.43,0.64,0.6,0.6,0.87,0.87,0.32,29M_FE_o_FER.csv
0.88,0.99,0.39,0.99,0.24,0.23,0.41,0.5,0.26,0.52,0.83,0.92,0.56,0.48,0.53,0.36,0.52,11F_SA_c_SAD.csv
0.77,0.93,0.26,0.72,0.52,0.26,0.46,0.44,0.42,0.39,0.52,0.59,0.41,0.48,0.93,0.69,0.47,38M_NE_c_NUT.csv
0.82,0.87,0.79,0.89,0.38,0.43,0.29,0.71,0.5,0.68,0.77,0.77,0.62,0.39,0.89,0.76,0.46,01F_SA_o_SAD.csv
0.34,0.43,0.91,0.19,0.55,0.75,0.83,0.69,0.36,0.57,0.46,0.86,0.39,0.62,0.44,0.77,0.52,09F_AN_c_ANG.csv
0.23,0.24,0.86,0.05,0.95,0.97,0.99,0.99,0.77,0.67,0.55,0.68,0.5,0.61,0.98,0.6,0.46,20M_AN_o_ANG.csv
0.72,0.85,0.88,0.66,0.67,0.51,0.79,0.62,0.38,0.19,0.76,0.68,0.64,0.54,0.82,0.84,0.64,33M_SA_o_SAD.csv
0.93,0.97,0.39,0.98,0.34,0.36,0.3,0.44,0.4,0.4,0.62,0.75,0.66,0.63,0.41,0.7,0.4,02F_FE_c_FER.csv
0.5,0.58,0.84,0.7,0.78,0.7,0.9,0.89,0.57,0.66,0.57,0.65,0.44,0.59,0.95,0.56,0.22,26M_AN_o_ANG.csv
0.89,0.98,0.27,0.87,0.83,0.53,0.43,0.74,0.94,0.82,0.3,0.34,0.22,0.77,0.87,0.91,0.55,36M_HA_x_HPY.csv
0.43,0.53,0.91,0.62,0.29,0.28,0.5,0.36,0.31,0.42,0.46,0.56,0.36,0.53,0.3,0.35,0.48,18F_AN_c_ANG.csv
0.83,0.8,0.56,0.69,0.85,0.75,0.74,0.7,0.57,0.89,0.34,0.47,0.39,0.77,0.9,0.34,0.44,39M_SA_c_SAD.csv
0.91,0.99,0.36,0.99,0.3,0.51,0.24,0.4,0.48,0.41,0.54,0.52,0.79,0.39,0.93,0.74,0.61,12F_SP_o_SUR.csv
0.63,0.47,0.77,0.33,0.36,0.62,0.49,0.74,0.27,0.58,0.85,0.89,0.73,0.48,0.71,0.88,0.52,07F_SA_c_SAD.csv
0.42,0.58,0.57,0.69,0.36,0.24,0.64,0.51,0.33,0.35,0.51,0.5,0.16,0.52,0.65,0.77,0.5,26M_NE_o_NUT.csv
0.86,0.97,0.25,0.98,0.38,0.32,0.27,0.51,0.53,0.48,0.56,0.84,0.31,0.67,0.19,0.34,0.28,27M_FE_c_FER.csv
0.88,0.97,0.19,0.99,0.21,0.28,0.6,0.32,0.19,0.63,0.59,0.69,0.18,0.64,0.64,0.72,0.37,38M_SP_o_SUR.csv
0.68,0.81,0.42,0.49,0.86,0.69,0.46,0.83,0.97,0.69,0.19,0.32,0.23,0.56,0.95,0.7,0.64,36M_HA_o_HPY.csv
0.71,0.49,0.61,0.58,0.45,0.35,0.27,0.56,0.46,0.32,0.74,0.89,0.22,0.66,0.34,0.62,0.59,22M_SA_c_SAD.csv
0.79,0.9,0.16,0.87,0.64,0.16,0.6,0.5,0.55,0.93,0.62,0.45,0.66,0.71,0.79,0.45,0.41,39M_NE_c_NUT.csv
0.9,0.99,0.16,0.99,0.42,0.34,0.55,0.48,0.22,0.81,0.65,0.66,0.65,0.76,0.37,0.8,0.22,39M_SP_o_SUR.csv
0.81,0.78,0.47,0.81,0.49,0.36,0.51,0.66,0.53,0.63,0.59,0.49,0.73,0.44,0.91,0.94,0.58,24M_FE_o_FER.csv
0.85,0.97,0.49,0.71,0.83,0.7,0.42,0.93,0.94,0.87,0.42,0.89,0.52,0.63,0.68,0.73,0.41,13F_HA_c_HPY.csv
0.37,0.33,0.89,0.28,0.86,0.86,0.93,0.92,0.55,0.82,0.4,0.62,0.4,0.51,0.94,0.82,0.18,29M_AN_o_ANG.csv
0.85,0.98,0.55,0.99,0.37,0.47,0.57,0.45,0.47,0.65,0.57,0.46,0.36,0.5,0.98,0.99,0.53,42M_SP_o_SUR.csv
0.47,0.38,0.75,0.23,0.79,0.54,0.81,0.93,0.85,0.78,0.23,0.43,0.12,0.55,0.94,0.74,0.38,35M_AN_o_ANG.csv
0.65,0.75,0.68,0.92,0.57,0.61,0.4,0.17,0.53,0.8,0.52,0.65,0.22,0.71,0.54,0.13,0.39,31M_FE_c_FER.csv
0.57,0.71,0.43,0.71,0.69,0.63,0.69,0.76,0.67,0.51,0.72,0.88,0.56,0.56,0.71,0.6,0.49,45M_NE_o_NUT.csv
0.73,0.83,0.5,0.75,0.44,0.51,0.46,0.59,0.39,0.32,0.67,0.58,0.39,0.67,0.63,0.66,0.48,02F_NE_o_NUT.csv
0.35,0.69,0.64,0.6,0.97,0.84,0.7,0.97,0.98,0.82,0.49,0.65,0.66,0.45,0.98,0.66,0.39,09F_HA_o_HPY.csv
0.6,0.82,0.69,0.35,0.96,0.86,0.82,0.91,0.95,0.79,0.35,0.5,0.77,0.46,0.99,0.96,0.51,16F_HA_x_HPY.csv
0.65,0.84,0.25,0.58,0.81,0.23,0.39,0.81,0.84,0.8,0.42,0.52,0.71,0.65,0.97,0.58,0.52,40M_NE_c_NUT.csv
0.59,0.78,0.3,0.65,0.38,0.32,0.47,0.42,0.51,0.34,0.58,0.56,0.31,0.45,0.48,0.38,0.46,18F_NE_c_NUT.csv
0.8,0.86,0.59,0.98,0.46,0.27,0.34,0.53,0.41,0.6,0.85,0.94,0.73,0.68,0.38,0.45,0.32,10F_FE_c_FER.csv
0.53,0.53,0.86,0.47,0.62,0.77,0.68,0.75,0.44,0.85,0.86,0.71,0.69,0.51,0.73,0.87,0.64,25M_SA_o_SAD.csv
0.53,0.77,0.32,0.96,0.45,0.39,0.67,0.61,0.46,0.52,0.61,0.87,0.35,0.8,0.13,0.73,0.32,38M_AN_c_ANG.csv
0.38,0.5,0.78,0.51,0.62,0.33,0.45,0.31,0.34,0.77,0.45,0.67,0.6,0.68,0.56,0.56,0.54,31M_AN_c_ANG.csv
0.46,0.73,0.68,0.53,0.54,0.59,0.74,0.58,0.37,0.35,0.66,0.59,0.41,0.5,0.71,0.67,0.46,09F_NE_o_NUT.csv
0.59,0.88,0.48,0.32,0.87,0.87,0.79,0.91,0.91,0.73,0.38,0.5,0.4,0.49,0.96,0.97,0.57,17F_HA_x_HPY.csv
0.87,0.96,0.13,0.78,0.97,0.86,0.54,0.92,0.98,0.96,0.26,0.31,0.4,0.7,0.99,0.49,0.48,39M_HA_o_HPY.csv
0.85,0.93,0.64,0.95,0.31,0.35,0.26,0.48,0.36,0.38,0.72,0.6,0.46,0.42,0.67,0.81,0.64,34M_SA_o_SAD.csv
0.38,0.66,0.55,0.58,0.87,0.86,0.58,0.92,0.97,0.78,0.37,0.68,0.17,0.59,0.9,0.69,0.44,27M_HA_o_HPY.csv
0.44,0.75,0.32,0.72,0.46,0.38,0.43,0.34,0.46,0.3,0.46,0.57,0.14,0.51,0.37,0.48,0.39,27M_NE_c_NUT.csv
0.64,0.6,0.77,0.39,0.62,0.64,0.6,0.77,0.47,0.55,0.71,0.78,0.76,0.55,0.7,0.87,0.63,07F_SA_o_SAD.csv
0.82,0.93,0.51,0.97,0.44,0.09,0.44,0.63,0.52,0.35,0.34,0.73,0.39,0.42,0.98,0.76,0.43,30M_SP_o_SUR.csv
0.86,0.98,0.42,0.98,0.4,0.17,0.27,0.46,0.53,0.35,0.62,0.77,0.34,0.65,0.42,0.52,0.46,22M_SP_c_SUR.csv
0.88,0.98,0.5,0.99,0.36,0.19,0.32,0.39,0.54,0.72,0.53,0.69,0.28,0.51,0.76,0.95,0.44,02F_SP_o_SUR.csv
0.69,0.86,0.31,0.37,0.79,0.61,0.67,0.77,0.93,0.83,0.56,0.82,0.49,0.62,0.65,0.53,0.74,03F_HA_c_HPY.csv
0.91,0.99,0.72,0.96,0.45,0.52,0.46,0.58,0.36,0.59,0.68,0.75,0.65,0.41,0.89,0.93,0.37,16F_FE_o_FER.csv
0.46,0.77,0.61,0.55,0.82,0.76,0.69,0.82,0.95,0.75,0.48,0.53,0.69,0.48,0.85,0.73,0.56,01F_HA_c_HPY.csv
0.89,0.98,0.37,0.98,0.38,0.39,0.24,0.55,0.53,0.36,0.63,0.6,0.32,0.46,0.58,0.76,0.33,27M_FE_o_FER.csv
0.93,0.99,0.26,0.92,0.37,0.53,0.33,0.5,0.6,0.55,0.38,0.55,0.73,0.59,0.58,0.38,0.47,32M_FE_c_FER.csv
0.84,0.96,0.29,0.55,0.9,0.81,0.37,0.86,0.97,0.92,0.31,0.92,0.12,0.84,0.49,0.68,0.6,35M_HA_c_HPY.csv
0.92,0.98,0.37,0.99,0.66,0.38,0.59,0.73,0.48,0.73,0.68,0.53,0.76,0.61,0.64,0.88,0.53,40M_FE_c_FER.csv
0.44,0.79,0.73,0.61,0.62,0.62,0.84,0.77,0.6,0.85,0.45,0.62,0.72,0.57,0.93,0.9,0.67,41M_AN_o_ANG.csv
0.48,0.5,0.88,0.4,0.53,0.88,0.63,0.64,0.34,0.7,0.91,0.93,0.58,0.62,0.35,0.59,0.57,25M_SA_c_SAD.csv
0.92,0.98,0.46,0.87,0.42,0.25,0.42,0.51,0.41,0.49,0.5,0.57,0.56,0.5,0.81,0.87,0.53,36M_FE_o_FER.csv
0.69,0.92,0.57,0.84,0.3,0.24,0.51,0.53,0.44,0.39,0.61,0.63,0.34,0.45,0.81,0.8,0.53,01F_NE_o_NUT.csv
0.87,0.94,0.72,0.83,0.71,0.46,0.42,0.69,0.76,0.5,0.39,0.55,0.35,0.38,0.93,0.94,0.41,15F_FE_o_FER.csv
0.8,0.94,0.33,0.51,0.51,0.47,0.65,0.48,0.59,0.47,0.6,0.56,0.27,0.53,0.81,0.86,0.7,42M_NE_c_NUT.csv
0.91,0.97,0.24,0.99,0.73,0.12,0.29,0.66,0.66,0.87,0.52,0.28,0.8,0.43,0.97,0.74,0.44,40M_FE_o_FER.csv
0.54,0.72,0.8,0.32,0.52,0.51,0.62,0.71,0.4,0.6,0.66,0.88,0.45,0.6,0.32,0.72,0.49,16F_AN_c_ANG.csv
0.45,0.26,0.69,0.23,0.72,0.48,0.62,0.72,0.46,0.49,0.56,0.72,0.73,0.68,0.42,0.76,0.6,21M_AN_c_ANG.csv
0.59,0.74,0.61,0.49,0.93,0.9,0.83,0.93,0.98,0.82,0.35,0.34,0.25,0.51,0.96,0.87,0.67,33M_HA_o_HPY.csv
0.95,0.99,0.45,0.5,0.93,0.82,0.72,0.86,0.91,0.9,0.85,0.89,0.5,0.67,0.73,0.54,0.79,42M_HA_c_HPY.csv
0.87,0.97,0.42,0.88,0.9,0.71,0.69,0.93,0.96,0.75,0.37,0.59,0.66,0.34,0.98,0.92,0.33,18F_HA_x_HPY.csv
0.94,0.99,0.38,1.0,0.3,0.27,0.2,0.31,0.51,0.56,0.6,0.83,0.29,0.65,0.54,0.67,0.2,13F_FE_c_FER.csv
0.28,0.48,0.76,0.45,0.5,0.3,0.69,0.72,0.37,0.86,0.78,0.96,0.64,0.78,0.17,0.75,0.37,20M_AN_c_ANG.csv
0.78,0.88,0.27,0.82,0.89,0.79,0.61,0.91,0.96,0.69,0.28,0.43,0.39,0.49,0.97,0.85,0.5,28M_HA_x_HPY.csv
0.7,0.89,0.65,0.5,0.65,0.7,0.66,0.67,0.4,0.7,0.77,0.84,0.85,0.56,0.84,0.96,0.69,42M_SA_o_SAD.csv
0.49,0.49,0.36,0.49,0.52,0.62,0.69,0.87,0.41,0.8,0.81,0.97,0.16,0.77,0.3,0.66,0.34,22M_AN_c_ANG.csv
0.88,0.91,0.64,0.8,0.6,0.67,0.4,0.63,0.47,0.72,0.51,0.56,0.53,0.43,0.93,0.92,0.63,11F_SA_o_SAD.csv
0.94,1.0,0.48,0.99,0.26,0.25,0.41,0.31,0.42,0.23,0.41,0.72,0.17,0.59,0.46,0.76,0.44,26M_FE_c_FER.csv
0.61,0.85,0.9,0.5,0.75,0.88,0.91,0.6,0.52,0.68,0.44,0.68,0.57,0.55,0.94,0.37,0.43,31M_AN_o_ANG.csv
0.44,0.65,0.57,0.43,0.79,0.85,0.55,0.82,0.93,0.81,0.37,0.61,0.39,0.56,0.89,0.79,0.53,25M_HA_o_HPY.csv
0.8,0.94,0.31,0.64,0.42,0.49,0.37,0.39,0.25,0.38,0.64,0.87,0.25,0.64,0.35,0.44,0.7,38M_SA_c_SAD.csv
0.51,0.54,0.29,0.54,0.92,0.86,0.63,0.81,0.92,0.69,0.54,0.81,0.51,0.7,0.5,0.53,0.54,45M_HA_c_HPY.csv
0.83,0.75,0.59,0.95,0.34,0.41,0.37,0.71,0.46,0.5,0.66,0.89,0.6,0.65,0.53,0.83,0.38,07F_FE_c_FER.csv
0.66,0.63,0.88,0.35,0.89,0.86,0.9,0.95,0.62,0.53,0.47,0.65,0.35,0.44,0.99,0.92,0.56,06F_AN_o_ANG.csv
0.86,0.92,0.72,0.61,0.37,0.57,0.56,0.64,0.38,0.51,0.59,0.73,0.44,0.52,0.94,0.92,0.56,14F_SA_o_SAD.csv
0.98,1.0,0.5,0.95,0.75,0.76,0.55,0.89,0.92,0.82,0.67,0.52,0.43,0.57,0.87,0.95,0.37,33M_HA_x_HPY.csv
0.95,0.95,0.69,0.37,0.73,0.83,0.74,0.77,0.65,0.63,0.67,0.49,0.65,0.53,0.91,0.94,0.82,03F_SA_o_SAD.csv
0.48,0.84,0.72,0.24,0.73,0.87,0.85,0.84,0.5,0.59,0.48,0.78,0.56,0.59,0.77,0.89,0.85,41M_SA_o_SAD.csv
0.64,0.86,0.65,0.9,0.35,0.23,0.55,0.66,0.43,0.74,0.88,0.86,0.56,0.54,0.51,0.26,0.39,01F_SA_c_SAD.csv
0.7,0.82,0.44,0.96,0.31,0.31,0.33,0.46,0.45,0.41,0.6,0.66,0.49,0.61,0.53,0.69,0.39,08F_NE_c_NUT.csv
0.65,0.89,0.65,0.94,0.6,0.7,0.82,0.66,0.53,0.65,0.84,0.92,0.36,0.83,0.27,0.54,0.39,34M_AN_c_ANG.csv
0.58,0.83,0.65,0.26,0.95,0.84,0.68,0.91,0.96,0.88,0.3,0.46,0.27,0.5,0.94,0.61,0.62,19F_HA_o_HPY.csv
0.38,0.65,0.78,0.51,0.72,0.9,0.88,0.57,0.49,0.78,0.75,0.95,0.45,0.65,0.48,0.62,0.81,41M_AN_c_ANG.csv
0.84,0.9,0.55,0.38,0.28,0.46,0.34,0.46,0.27,0.54,0.66,0.85,0.3,0.56,0.62,0.93,0.62,05F_SA_o_SAD.csv
0.56,0.44,0.9,0.71,0.47,0.32,0.57,0.85,0.3,0.55,0.73,0.87,0.61,0.58,0.55,0.77,0.56,26M_SA_c_SAD.csv
0.9,0.99,0.31,1.0,0.32,0.18,0.29,0.49,0.44,0.31,0.82,0.85,0.5,0.46,0.52,0.53,0.43,37M_FE_c_FER.csv
0.81,0.75,0.49,0.53,0.52,0.59,0.73,0.28,0.31,0.26,0.42,0.19,0.32,0.66,0.81,0.77,0.85,43M_SA_o_SAD.csv
